"","Probe_ID","Gene_Symbol","Ensembl_Gene_ID","GSM60914","GSM60936","GSM60937","GSM60938","GSM60939","GSM60940","GSM60941","GSM60942","GSM60943","GSM60944","GSM60945","GSM60946","GSM60947","GSM60948","GSM60949","GSM60950","GSM60951","GSM60952","GSM60953","GSM60954","GSM60955","GSM60956","GSM60957","GSM61474"
"1332",1318,"CCT3","ENSG00000163468","-0.14393175","-0.015785163","-0.123543202","0.153817788","0.022436894","-0.172392221","-0.005077186","-0.085667843","-0.080123836","-0.026556148","-0.004899237","0.021819943","-0.030185415","0.048586185","0.120519479","-0.233351977","0.555380306","0.030975923","-0.08143658","-0.165116937","-0.013135558","-0.107838533","-0.020256105",1.025241518
"1333",1319,"POLR2J","ENSG00000005075","0.131325311","0.058129347","0.164850062","-0.159397675","0.279447242","-0.104583597","-0.099562648","-0.084144469","-0.006080275","0.472968297","0.276005252","0.0513375","0.09502733","0.080250263","0.072729243","-0.115526986","-0.438010046","-0.082855458","0.021025503","-0.015897627","-0.128933081","0.186969351","-0.183139285",1.025270962
"1334",1320,"POLR2J","ENSG00000005075","0.064736724","0.072085343","0.09871873","0.234298742","0.368434058","-0.019933088","0.245372895","-0.04385246","-0.074271683","0.513900612","0.241876604","-0.008580384","-0.08772856","0.037427962","0.068511254","0.239954372","0.121760198","0.257072014","-0.08329489","-0.051804085","0.016490121","-0.223614152","0.093189623",1.125006497
"1335",1321,"TXN","ENSG00000136810","0.108793249","0.288244393","0.295978781","0.255159543","0.199128065","0.221142794","-0.080860693","-0.203091865","0.157401397","0.201802365","0.000947583","-0.024012122","-0.049643641","-0.167572653","-0.221997","0.132936953","-0.00566447","-0.057513849","0.444764696","0.110655415","0.083164746","-0.203579795","-0.119057151",0.849017208
"1336",1322,"TXN","ENSG00000136810","-0.021387548","0.24321332","0.264781933","0.453228005","0.102303761","0.139724764","-0.107223934","-0.270299079","-0.351376643","0.112055587","-0.055730916","0.036428787","-0.250376087","-0.84424233","-0.19055733","0.324272035","-0.158583097","-0.070966521","-0.001039364","-0.302546304","0.327868715","-0.0911392","-0.211771135",0.9388339
"1337",1323,"LRP16","1323","-0.023046113","0.106082426","-0.267791855","-0.439093525","0.037575681",NA,NA,"0.060968017","0.373814837","0.010115344","0.070005479","-0.633067203","-0.062494437",NA,NA,"-0.180522848","0.029045171","-0.233876622","0.202934641","0.225767148","0.28895981","0.23086943","-0.576918105",0.969153113
"1338",1324,"LRP16","1324","0.161131526","0.516389748","0.331805848","-0.002180945","-0.013364008",NA,NA,"0.078002512","0.434338055","0.145244195","-0.011028778","-0.541167383","-0.059432914",NA,NA,"0.243303329","0.16934451","0.277346357","-0.173104035","0.115624199","0.315477371","0.046101408","-0.346151152",1.06360424
"1339",1325,"TNNT1","ENSG00000105048","-0.757342652","-0.17187641","-0.233440943","-0.019355116","-0.650740822",NA,"1.66423201","1.308343502","1.107106162","0.087252347","0.12412708","0.490014405","0.616632236","0.460839921","-0.124602195","-0.222893936","0.065201402","0.213764097","-0.198209235","0.087561174","0.0147851","0.05116517","0.081281866",1.207483708
"1340",1326,"TNNT1","ENSG00000105048","-0.48332371","-0.593113619","-0.04690655","-0.166691593","-0.502766477","1.503476542","1.562442974","1.392532076","1.340752678","0.087252347","0.175415041","0.31862295","0.690714305","0.266163193","-0.218823972","-0.184893627","0.465830559","0.313937334","-0.146916942","0.174790627","0.217864216","0.058298641","0.137223338",1.248015631
"1341",1327,"LENG4","1327","0.15784561","-0.079062264","0.285729546","0.093180262","0.136006693",NA,NA,"-0.176994575","-0.623724714","0.132808583","0.241497825","-0.013813906","-0.05115923","0.666509781","0.229834805","-0.199069541","-0.224399949","-0.316696424","0.08890095","-0.053767068","-0.006000572","0.160256703","-0.276540468",1.13146571
